Title,Location,Company,Salary,Advert Date
Reward Analyst,Manchester,Essential Personnel,"£28,000 a year",21/4/2021
Power Process Manager,Manchester,Gazprom Marketing & Trading Ltd,,29/3/2021
Application Support Analyst,Altrincham,Data Careers Ltd,"£25,000 - £30,000 a year",25/4/2021
Senior Credit Risk Analyst (New Customers),Manchester,N Brown,"£45,000 a year",26/3/2021
Senior Digital Analyst,Manchester,The Candidate,"£45,000 a year",
Regulatory Reporting Analyst,Cheadle,Recruitment Solutions (Northwest) Ltd,"£30,000 - £35,000 a year",April 2021
Programmatic Account Executive,Manchester,m/SIX,,15/3/2021
IS Business Analyst,Manchester,Bureau Veritas,,4/3/2021
Billing Analyst - Maternity Cover,Manchester,Worldpay,"£22,000 - £28,000 a year",
Credit Analyst,Manchester,axonmoore,"£35,000 - £40,000 a year",17/5/2021
Technical Analyst,Stockport,EuroNet Solutions Ltd,"£29,500 - £34,500 a year",
Conversion Rate Optimisation Analyst,Manchester,Chroma Recruitment,"£30,000 - £40,000 a year",April 2021
Senior Claims Analyst,Manchester,Royal Sun Alliance,,21/4/2021
Senior Investment Manager,Manchester,Arrow Global,,21/4/2021
"Team Ld, Tax Reporting Compl",Manchester,BNY Mellon,,1/3/2021
Commercial Finance Analyst - FP&A - Strategy,Manchester,Well Pharmacy,,March 2021
Dynamics CRM Support Desk Analyst,Manchester,Catch Resource Management Ltd,"£30,000 - £35,000 a year",3/4/2021
Manchester - Data Warehouse Developer,Manchester,Opus Recruitment Solutions,"£45,000 - £60,000 a year",March 2021
Financial Analyst,Altrincham,Alexander Hancock Recruitment,"£20,000 - £24,000 a year",28/5/2021
Pricing Analyst - Successful Technology Business - Mancheste...,Hulme,Page Personnel - UK,"£32,000 a year",6/3/2021
Associate Analyst - Support Services,Manchester,Page Personnel - UK,"£25,000 a year",25/5/2021
Finance Systems Analyst,Altrincham,Page Personnel - UK,"£30,000 - £35,000 a year",4/5/2021
BI Analyst,Manchester,Burns Sheehan,"£30,000 - £35,000 a year",14/3/2021
Senior Statistical Analyst,Manchester,Aspire Data Recruitment,"£38,000 - £48,000 a year",
Salesforce Administrator,Cheadle Hulme,Human Appeal,"£30,000 - £35,000 a year",April 2021
Head of Data,Trafford,thinkmoney,,3/3/2021
Paid Social Account Manager,Manchester,m/SIX,,8/5/2021
Paid Search Account Manager,Manchester,m/SIX,,April 2021
Senior Data Engineering Developer,Manchester,Auto Trader UK,"£40,000 - £60,000 a year",24/4/2021
Interim Data Modeller / Data Modelling,Manchester,Triumph Consultants Ltd,£430 a day,May 2021
Brand Marketing Analyst - Beauty,Manchester,The Hut Group,,March 2021
Senior Business Analyst,Manchester,WSP,,11/3/2021
Senior Finance Analyst - Mental Health,Oldham,Oldham Clinical Commissioning Group,"£28,050 - £36,644 a year",5/5/2021
"Lead Manager, EMEA Reconciliations",Manchester,BNY Mellon,,20/4/2021
Senior Python Developer,Manchester,Ricardo,,13/3/2021
IT Service Desk 2nd Line Analyst - [39 Hours],Greater Manchester,Pets at Home,"£25,000 a year",
Business Analyst (software delivery),Manchester,Sorted,,March 2021
UX Design Engineer,Manchester,Freshfields Bruckhaus Deringer LLP,,
UX Researcher,Manchester,Booking.com,,March 2021
Resource Planning Manager - DJPF1287,Manchester,Douglas Jackson,"£45,000 a year",
Forecast & Demand Analyst,Wythenshawe,NJR Recruitment,"£22,000 - £28,000 a year",March 2021
NOC Security Engineer,Manchester,Just IT Recruitment,,30/5/2021
Sales Ledger Analyst - growing business,Manchester,Page Personnel - UK,"£22,000 a year",6/3/2021
Estimator / Bid Analyst,Manchester,Mitie,,4/4/2021
Senior Finance Analyst,Cheadle,Together Financial Services Ltd,"£30,000 - £35,000 a year",21/5/2021
Graduate Supply Chain Analyst (Immediate Start),Manchester,The Hut Group,,6/4/2021
Digital Marketing Manager,Manchester,Well Pharmacy,"£40,000 a year",May 2021
Energy Analyst,Denton,Search Consultancy,"£24,000 a year",0/4/2021
Affiliate Partnerships Manager,Manchester,The Dining Club Group,,3/4/2021
PPC Analyst,Manchester,The Candidate,"£40,000 a year",April 2021
Senior Web Analyst,Manchester,The Candidate,"£50,000 a year",29/4/2021
Programmatic Account Manager,Manchester,m/SIX,,2/5/2021
Infrastructure Engineer,Manchester,Search Consultancy,"£43,000 a year",23/5/2021
BI Analyst/Developer,Manchester,Digital Gurus,"£45,000 - £55,000 a year",15/5/2021
Senior Planing & Analysis Specialist,Manchester,Sanderson Recruitment Plc,,3/5/2021
IT Business Analyst,Manchester,JC AGRI Solutions,,7/4/2021
Intelligence Analyst Apprenticeship Assessor,Manchester,Oakmoor Recruitment,"£30,000 - £45,000 a year",10/4/2021
Solution Architect – Finance & Risk,Manchester,Freshfields Bruckhaus Deringer LLP,,March 2021
Senior Commercial Analyst,Manchester,Michael Page UK,,May 2021
Commercial Category Analyst - Myprotein,Manchester,The Hut Group,,18/3/2021
Project Manager (IT) – 3 month contract – Manchester,Manchester,Venturi,£325 - £370 a day,
"Principal, Regulatory Oversight Management (Vice President)",Manchester,BNY Mellon,,16/3/2021
Technical Support Analyst,Altrincham,Clear Sky Recruitment,"£27,000 a year",April 2021
Casualty/Property Underwriter,Manchester,Allianz,,May 2021
"Sr. Specialist, BusTechLiaison",Manchester,BNY Mellon,,
IT Service Desk 2nd Line Analyst – Six Month Fixed Term Cont...,Greater Manchester,Pets at Home,"£25,300 a year",March 2021
Lead Customer Insight Analyst,Manchester,Aspire Data Recruitment,"£48,000 a year",March 2021
Senior Business Systems Analyst - Enterprise Reporting,Manchester,Michael Page UK,"£55,000 - £65,000 a year",March 2021
Developer – Data Platforms,Manchester,Jisc,"£30,500 a year",4/5/2021
Cro manager,Manchester,Banc (UK),,23/4/2021
VAT Compliance Manager,Manchester,Amazon UK Services Ltd.,,March 2021
Senior Credit Risk Analyst - manchester,Manchester,Consult RPM,"£50,000 - £60,000 a year",May 2021
Customer Service Specialist Apprenticeship,Altrincham,Civica,,May 2021
Paid Social Senior Account Executive,Manchester,m/SIX,,April 2021
Senior Product Owner,Trafford,thinkmoney,,
CRO Manager,Manchester,Banc Media Ltd,,14/4/2021
Speech Analyst - DJPF1296,Manchester,Douglas Jackson,"£35,000 a year",
Senior Credit Risk Analyst,Manchester,Oscar Technology,"£45,000 a year",18/4/2021
Data Analytics - Project Manager,Manchester,BRUIN Financial,"£65,000 a year",31/3/2021
Junior Integration Developer,Manchester,Solo Search,"£22,000 - £25,000 a year",May 2021
Web Analyst,Altrincham,Chassam Recruitment,"£25,000 a year",27/4/2021
Programme Lead,Manchester,Newtons Recruitment,"£55,000 a year",28/4/2021
Commercial Finance Analyst,Wythenshawe,Page Personnel - UK,"£24,000 - £32,000 a year",18/3/2021
Intercompany Analyst,Manchester,Search Consultancy,,15/3/2021
Senior Software Developer,Manchester,Harnham,£475 - £500 a day,
Senior Java Developer,Manchester,Harnham,£475 - £500 a day,19/5/2021
Oracle Apex Developer,Manchester,OCC Computing,"£40,000 - £45,000 a year",May 2021
Senior Statistical Modelling Analyst,Manchester,Aspire Data Recruitment,"£35,000 - £45,000 a year",5/3/2021
Analytics & Modelling Manager - Investments,Manchester,Aspire Data Recruitment,"£50,000 - £70,000 a year",19/5/2021
Senior Credit Analyst,Manchester,BWD Search & Selection Ltd,"£52,000 - £60,000 a year",12/3/2021
Market Access Consultant,Manchester,G&J Lee Recruitment (Gareth Lee),"£30,000 - £40,000 a year",29/4/2021
Senior Android Developer,Manchester,Auto Trader UK,"£40,000 - £60,000 a year",May 2021
"Senior Infrastructure Engineer, Infrastructure Manager – Sal...",Manchester,Candour Solutions Limited,"£42,000 a year",9/5/2021
UI Designer,Manchester,Spier Consulting,£540 a week,
QA Engineer (Dev in Test),Manchester,Sorted,,24/4/2021
Senior Incident Response Consultant,Manchester,Outsource UK,"£50,000 - £75,000 a year",16/5/2021
Senior Software Developer,Manchester,NorthWest EHealth,"£45,146 - £53,352 a year",8/4/2021
Senior SQL Developer,Manchester,Oscar Technology,"£30,000 - £45,000 a year",27/5/2021
UI / UX Designer,Manchester,J&C Associates Ltd,£500 - £545 a week,May 2021
Business Intelligence Solution Architect,Manchester,Freshfields Bruckhaus Deringer LLP,,25/4/2021
Finance Analyst (Interim),Manchester,Search Consultancy,,March 2021
Senior Finance Systems Accountant,Manchester,Freshfields Bruckhaus Deringer LLP,,29/4/2021
Principal Android Developer,Manchester,Auto Trader UK,"£50,000 - £70,000 a year",12/3/2021
Senior Research Scientist – Pricing Analytics,Manchester,Aspire Data Recruitment,"£75,000 a year",March 2021
Senior Information Security Analyst,Manchester,SG Gaming,,
Senior Investment Manager,Manchester,Aspire Data Recruitment,"£60,000 - £80,000 a year",21/5/2021
Full Stack Software Developer,Manchester,FLG Business Technology Limited,"£40,000 - £45,000 a year",1/5/2021
Information Security Operations Anayst,Manchester,The Hut Group,,26/3/2021
Finance Reporting Analyst,Manchester,Search Consultancy,,23/3/2021
Senior UX Designer,Manchester,InterQuest Group,"£60,000 a year",March 2021
User Researcher (UX/UI),Manchester,ISR Recruitment,"£35,000 - £45,000 a year",3/4/2021
UX Designer,Manchester,The Candidate,"£40,000 - £45,000 a year",
UX Designer,Manchester,The Hut Group,,April 2021
Experienced/ senior medical writer – market access and healt...,Manchester,AMICULUM,,
Lead Developer,Manchester,Syntax Consultancy Limited,"£49,242 a year",23/4/2021
Data Analyst - Audience,,The SmartList,,May 2021
Data Collection Administrator,,Page Personnel - UK,,9/4/2021
Data Analyst,Sheffield,One Health Group,,16/5/2021
HEO Research and Performance Analyst,Sheffield,UK Government - Department for Education,"£29,014 - £31,889 a year",7/5/2021
MI Analyst,Sheffield,PeoplePlus,"£22,000 - £28,000 a year",
Graduate Business Analyst,Sheffield,GRAYCE,,12/3/2021
Interim Data Analyst,Sheffield,SIG Plc,,6/4/2021
Interim Data Collection Administrator,Sheffield,SIG Plc,,25/3/2021
Apprentice Data/Sales Analyst,Sheffield,IMechE Argyll Ruane,"£22,000 a year",8/4/2021
Data Collection Administrator,Sheffield,Page Personnel - UK,,3/4/2021
Digital Business Analyst,Sheffield,Jet2.com and Jet2holidays,,10/4/2021
Finance Data Analyst,Sheffield,ITM Power PLC,,May 2021
Data and insights analyst,,Page Personnel - UK,"£24,000 - £31,000 a year",
Business Intelligence Analyst,,Benchmark Recruit,"£33,000 a year",23/4/2021
Software Quality Engineer,,XLN Telecom,"£25,000 - £35,000 a year",May 2021
Applications Analysts (5 Posts),Sheffield,Sheffield Hallam University,"£27,511 - £33,797 a year",17/5/2021
Business Analysts,Sheffield,South Yorkshire Police,"£30,024 - £34,617 a year",March 2021
Sr. Global Data Engineer,Sheffield,Sherwin-Williams,,May 2021
Processing Service Desk Analyst,Sheffield,Transaction Network Services,,0/3/2021
Business Analyst,Chesterfield,Amazon UK Services Ltd.,,1/4/2021
Processing Service Desk Analyst,Sheffield,"Transaction Network Services, Inc",,27/5/2021
PSD Network Analyst,Sheffield,Transaction Network Services,,8/5/2021
Construction Company,Sheffield,Page Personnel - UK,"£22,000 - £23,000 a year",April 2021
Senior Pensions Change Analyst,Sheffield,Aon Corporation,,April 2021
PSD Network Analyst,Sheffield,"Transaction Network Services, Inc",,29/4/2021
Agile Business Analyst,Sheffield,HSBC,,
Relationship Manager,Sheffield,Primary Care Sheffield Ltd,"£33,000 a year",17/3/2021
Portfolio/PMO Support Analyst,Chesterfield,Greencore,,16/5/2021
Business Analyst,Chesterfield,Greencore,,March 2021
Data Analyst Team Manager,Sheffield,Brewster Partners,"£30,000 - £35,000 a year",March 2021
Agile Senior Digital Business Analyst (Inside IR35),Sheffield,Public Sector Resourcing,£450 - £500 a day,27/4/2021
Senior Finance Analyst,Chesterfield,Amazon UK Services Ltd.,,March 2021
Software Quality Engineer,Sheffield,XLN Business Services,"£25,000 - £35,000 a year",March 2021
Marketing Analyst,Rotherham,PointSolutions,"£20,000 - £25,000 a year",7/5/2021
Digital User Researcher x2 (Inside IR35),Sheffield,Public Sector Resourcing,,28/4/2021
AGILE BUSINESS ANALYST,Sheffield,Darwin Rhodes,,
Software Quality Engineer,Sheffield,XLN Telecom,"£25,000 - £35,000 a year",
Service Design Manager,Sheffield,Insight UK,,21/3/2021
Trainee Robotics Process Automation - Sheffield,Sheffield,FDM Group - FDM Graduate Programme,"£23,500 - £26,000 a year",March 2021
Research and Evaluation Manager P8JOB4191,Sheffield,Pyramid8 Recruitment,"£30,000 - £37,000 a year",5/5/2021
Technical Business Analyst,Sheffield,HSBC,,31/5/2021
Technical Business Analyst,Sheffield,BRUIN Financial,,6/5/2021
Sales Operations Analyst,Sheffield,TES Global,,March 2021
Service / User Designer | 4 Months | Up to £500pd (ib2828),Sheffield,People Source Consulting,£400 - £500 a day,
Analytics Manager,Sheffield,Brewster Partners,,0/5/2021
"Keppel Internship Programme (Jan - Jun 2020) Intern, Asset M...",Keppel,Keppel Corporation,,26/3/2021
"Lead Delivery Manager, Sheffield",Sheffield,Justice Digital and Technology,"£63,000 a year",3/3/2021
Senior Finance Business Partner,Chesterfield,Amazon UK Services Ltd.,,0/3/2021
Analytics Manager,Sheffield,TES Global,"£30,000 - £35,000 a year",18/5/2021
Network / WiFi Tecnician,Chesterfield,Syntax Consultancy Limited,£120 - £140 a day,12/3/2021
FCTM Applied Analytics – Developer,Sheffield,HSBC,,April 2021
Network / WiFi Technician,Chesterfield,Syntax Consultancy Limited,£120 - £140 a day,12/4/2021
Service Designer - 3 Months - Sheffield - £500/Day Inside IR...,,Circle Recruitment,£500 a day,8/4/2021
Construction Company,,Page Personnel - UK,"£22,000 - £23,000 a year",1/5/2021
Management Information Analyst,,The Cumberland,,April 2021
Management Information Analyst,Carlisle,The Cumberland,,March 2021
IT Operations Manager,Carlisle,Six Degrees Recruitment,,13/4/2021
Client Services Analyst,Wrexham,DTCC,,April 2021
Commercial Data Analyst,Wrexham,Chetwood Financial Limited,,0/5/2021
IT Support Analyst,Wrexham,Best Companies,"£20,000 - £25,000 a year",2/5/2021
Data Analyst,Wrexham,Pareto Law,"£24,000 - £35,000 a year",14/4/2021
Finance Analyst - fixed term (16 months),Wrexham,Kellogg Company,,
OPERATIONS PLANNING ANALYST,Wrexham,Spring,,29/3/2021
Middle office analyst,Wrexham,Chetwood Financial Limited,,2/5/2021
Customer Operations Planning Analyst,Wrexham,Chetwood Financial Limited,,April 2021
Operations Planning Analyst,Wrexham,myfuturerole.com,"£40,000 - £45,000 a year",15/4/2021
"Sales Analyst Coordinator – Chester, UK",Chester,ADESA,,13/4/2021
CRM Analyst,Chester,Elevate Recruitment,"£35,000 - £40,000 a year",March 2021
IT Support Analyst,Wrexham,Roberts Webb Recruitment,"£20,000 - £25,000 a year",22/5/2021
Data Analyst - Cooperate or Investment Banking,,experisuk,,10/4/2021
Remote Data Analyst,,Siemens Gamesa Renewable Energy,,16/3/2021
Entry Level Marketing and Advertising,,Full Circle Opportunities,"£18,000 - £28,000 a year",9/4/2021
Data Operations Analyst,Glasgow,Barclays,,28/5/2021
Service Desk Analyst,Glasgow,UK Government - Office of Gas and Electricity Mark...,"£25,595 - £29,090 a year",0/3/2021
Clinical Quality Data Analyst - Clinical Governance Support...,Glasgow,NHS Scotland,"£24,670 - £30,742 a year",17/3/2021
Data Analyst,Glasgow,Barclays,,31/3/2021
Operations Data Analyst,Glasgow,Morgan Stanley,,
Planning Analyst,Glasgow,Virgin Money,"£21,424 - £26,780 a year",May 2021
KYC Analyst - 6 Month Contract - Glasgow,Glasgow,Resource Solutions,£205 - £232 a day,23/4/2021
Data/Share Plans Analyst,Glasgow,The Weir Group PLC,,May 2021
Market Data Vendor Analyst,Glasgow,Barclays,,21/5/2021
CDO - Reference Data Analyst,Glasgow,Barclays,,31/3/2021
Finance Analyst (Data),Glasgow,Rutherford Cross,£100 - £150 a day,22/5/2021
Assistant Planning Analyst,Glasgow,University of Glasgow,"£22,417 - £26,715 a year",March 2021
Data Analyst,Glasgow,GRS Global,"£20,000 - £25,000 a year",
Market Data Enterprise Analyst,Glasgow,Barclays,,5/3/2021
Risk Information Services Analyst - multiple roles,Glasgow,Barclays,,13/3/2021
Events Data Analyst,Glasgow,G4S (UK),"£28,000 - £35,000 a year",5/3/2021
Customer Contact Analyst,Glasgow,KPMG,,27/4/2021
Business Analyst,Glasgow,Capita Plc,,April 2021
Senior Analyst,Glasgow,Barclays,,26/4/2021
Analyst Support,Glasgow,KPMG,,March 2021
Market Data Business Services Analyst,Glasgow,Barclays,,28/4/2021
Data Analyst,Glasgow,Pertemps Network Group,£136 a day,March 2021
Business Analyst,Glasgow,Barclays,,March 2021
2nd Line Financial Crime Analyst,Glasgow,Atos,,14/5/2021
KYC Analyst - Glasgow,Glasgow,Resource Solutions Group,,
Sales Support Analyst - Glasgow,Glasgow,Rexel,,
Assurance & Controls Analyst,Glasgow,Virgin Money,"£21,424 - £26,780 a year",6/4/2021
Business Analyst,Glasgow,McCurrach,"£40,000 a year",20/4/2021
Data Analyst / Developer,Glasgow,Hymans Robertson LLP,,May 2021
HR Data Analyst - BAE071271,Glasgow,AAP3 IT Recruitment,£15 - £20 an hour,20/3/2021
SAP Data Migration Analyst HR10806,Renfrewshire,Terumo Aortic,,March 2021
Business Analyst,Glasgow,Ministry of Justice,"£30,989 - £41,095 a year",16/3/2021
Investment Analyst,Glasgow,Oliver James Associates,"£35,000 - £45,000 a year",2/3/2021
GIS Analyst,Glasgow,Atkins,,6/3/2021
Digital Investment Ops Analyst,Glasgow,Barclays,,March 2021
Graduate Business Analyst,Erskine,Hewlett Packard Enterprise,,17/3/2021
Security Operations Centre Analyst,Glasgow,Virgin Money,"£25,200 a year",7/3/2021
Head of Data & Reporting,Glasgow,Cigna,,May 2021
Data Analyst,Glasgow,Hydrogen Group,£385 - £425 a week,22/5/2021
RIS Counterparty Credit Risk – Counterparty Control Analyst,Glasgow,Barclays,,
Senior Resource Planning Analyst,Glasgow,HRC Recruitment,"£30,000 a year",7/3/2021
Middle Office Analyst,Glasgow,Meraki,,13/5/2021
Senior Analyst - FTC 9 months,Glasgow,Barclays,,26/4/2021
Seeking Financial Markets Analyst/Editor,Glasgow,TradeTheNews.com,,18/4/2021
Finance & Planning Analyst,East Kilbride,SHE Software,,April 2021
"HR Data Analyst - Excel, Tableau, Microsoft BI",Glasgow,Outsource UK,£15 - £20 an hour,13/5/2021
App Support,Glasgow,JP Morgan Chase,,May 2021
HR Data Analyst,Glasgow,Morson International,£20 an hour,27/4/2021
Inventory Control ME Analyst,Glasgow,Barclays,,May 2021
Senior Business Analyst,Glasgow,Barclays,,29/3/2021
Performance & Insight Analyst,Glasgow,Pertemps Network Group,"£32,000 a year",21/5/2021
Data Analyst / Developer,Glasgow,Bright Purple Resourcing,,12/4/2021
Data Analyst (Contract),Glasgow,Head Resourcing Limited,,24/4/2021
Business Intelligence Analyst- Middle Office,Glasgow,Barclays,,April 2021
Market Data Invoice (AVP),Glasgow,Barclays,,15/4/2021
Project Analyst,Glasgow,Morson International,,5/5/2021
Business Analyst,Glasgow,Arrow Global,,6/3/2021
Workflow Analyst,Glasgow,Optima Health,,27/4/2021
Reporting Analyst,Glasgow,SThree,,May 2021
CIB - Business Change Management Support - Analyst,Glasgow,J.P. Morgan,,April 2021
Crewing Analyst,Glasgow,Red The Consultancy,,16/4/2021
Graduate Ground Engineer,Glasgow,RSK,,
Network Support Engineer,Glasgow,DXC,,9/3/2021
Pricing Analyst,Paisley,Thermo Fisher Scientific,,25/3/2021
Business Analyst,Glasgow,Peak Scientific,,8/3/2021
Project Manager,Glasgow,Barclays,,May 2021
Big Data Engineer,Glasgow,Barclays,,29/3/2021
Change Analyst,Glasgow,Cactus Search,"£32,000 a year",April 2021
Change Analyst,Glasgow,Pertemps Network Group,"£32,000 a year",May 2021
SOC Analyst – Glasgow – Permanent,Glasgow,Hydrogen Group,,29/3/2021
Senior Resource Planner,Glasgow,Teleperformance,,25/4/2021
Billing Analyst,Glasgow,Search Consultancy,,March 2021
"Hacker Analyst, Digital Studio - People Advisory Services",Glasgow,EY,,6/3/2021
Programme Manager,Glasgow,Barclays,,
Senior Tech Analyst,Glasgow,Barclays,,April 2021
Inventory & Cost Analyst,Paisley,Thermo Fisher Scientific,,March 2021
Campaign Analyst,Glasgow,Denholm Associates,,20/3/2021
Performance & Insight Analyst,Glasgow,Cactus Search,"£32,000 a year",May 2021
Performance Analyst,Glasgow,Search Consultancy,,
Team Leader,Glasgow,Optima Health,"£22,000 a year",0/5/2021
"Analyst Liquidity -Financial, Product Control,Treasury, Fund...",Glasgow,Resource Solutions,,10/3/2021
Business Analyst - Operations Technology,Glasgow,Morgan Stanley,,16/3/2021
Business Process Improvement Analyst,Glasgow,Pole To Win International,,May 2021
Security Analyst,Glasgow,NetTalent,,3/3/2021
Senior Financial Analyst,Glasgow,University of Glasgow,"£44,045 - £51,034 a year",April 2021
Finance Analyst- Temporary Contract,Glasgow,Page Personnel - UK,"£25,000 - £28,000 a year",April 2021
Business Application Support Analyst,Glasgow,Shawbrook Bank,,April 2021
Digital Product Designer - £30k to £40k FTE,Glasgow,Swipii,"£30,000 - £40,000 a year",14/3/2021
Senior Business Analyst/Technical Lead (BA/PL),Paisley,NHS Scotland,"£37,570 - £44,688 a year",17/3/2021
Market Data Invoice (Vice President),Glasgow,Barclays,,April 2021
Application Support Analyst (SharePoint),Glasgow,Head Resourcing Limited,"£40,000 - £48,000 a year",9/4/2021
RPA- Robotic Process Automation,Glasgow,FDM Group,,March 2021
Software Engineer - WFM,Glasgow,Verint Systems Inc.,,March 2021
ERP Implementation Analyst,Glasgow,Incremental Group,,12/3/2021
Technical Designer,Glasgow,Virgin Money,"£39,689 - £59,533 a year",
IMI Transaction Monitoring & Optimisation Analyst,Glasgow,Barclays,,3/5/2021
Support Analyst,Glasgow,Resource Solutions Group,,6/3/2021
"Lead Risk, Finance & Treasury Data Analyst",Glasgow,Barclays,,31/5/2021
Senior Risk Analyst,Glasgow,Jacobs,,25/5/2021
Solution Architect Designer,Glasgow,Barclays,,14/5/2021
Administrator - SAP,Glasgow,Lorien Resourcing,£17.99 - £18.99 an hour,3/4/2021
HR Analyst,Paisley,Thermo Fisher Scientific,,
Interim Commercial Finance Analyst,Glasgow,Rutherford Cross,"£40,000 - £45,000 a year",27/5/2021
Developer,Glasgow,BAE Systems,,29/3/2021
Senior Test Analyst,Glasgow,FPSG,,13/3/2021
2nd Line Support Engineer (Hardware),Glasgow,CGI,,April 2021
Senior Analyst - Infrastructure Cloud,Glasgow,"Aggreko, LLC",,23/4/2021
Senior Resource Planner,Glasgow,Pertemps Network Group,"£35,000 a year",9/3/2021
Area Operational Controller,Glasgow,G4S (UK),"£20,000 - £22,000 a year",16/5/2021
Senior Resource Planner,Glasgow,Cactus Search,"£35,000 a year",May 2021
Dual Trained Asbestos Surveyor & Analyst,Glasgow,Lucion Services,,April 2021
Senior Infrastructure Services Analyst,Glasgow,Aggreko UK Ltd,,April 2021
Finance System Analyst,Glasgow,Incremental Group,,27/4/2021
Business Application Lead,Glasgow,Nine Twenty,,
Glasgow - Graduate Technical Consultant,Glasgow,FDM Group,,May 2021
Infrastructure Senior Security Analyst,Glasgow,"Aggreko, LLC",,26/4/2021
Associate Software Engineer - WFM,Glasgow,Verint Systems Inc.,,March 2021
UX Specialist,Glasgow,University of Glasgow,"£35,845 - £40,322 a year",4/5/2021
Senior Software Engineer (Integrations),Glasgow,Verint Systems Inc.,,12/4/2021
Glasgow - Graduate Technology Consultant - Belfast Assessmen...,Glasgow,FDM Group,,April 2021
Lead Developer,Glasgow,Barclays,,26/4/2021
"Interim Analyst, Corporate Accounting (Up to 12mths Fixed Te...",Glasgow,Hilton Corporate,,7/3/2021
Senior Financial Systems Support,Glasgow,Lusona Consultancy,,23/4/2021
Senior SOC Specialist,Glasgow,Hydrogen Group,,20/3/2021
Senior Software Engineer,East Kilbride,SHE Software,,March 2021
Senior Developer,Glasgow,KPMG,,April 2021
SRE SDLC and Automation – VP,Glasgow,JP Morgan Chase,,April 2021
SRE Infrastructure & Team Lead VP - Glasgow,Glasgow,JPMorgan Chase,,
Analyst (NERSOU) - 20218,Sunderland,Northumbria Police,"£28,266 - £30,951 a year",9/3/2021
Data Analyst,Sunderland,Aceviral,,4/3/2021
Category & Insights Analyst,Sunderland,Pentland Brands Limited,,March 2021
Disability Analyst,Sunderland,Ascenti,"£32,000 a year",May 2021
Senior Quality Analyst Pharmaceutical,Sunderland,Entech Technical Solutions Ltd,"£30,000 - £40,000 a year",6/5/2021
Analytical Chemist,Sunderland,Entech Technical Solutions Ltd,"£25,000 - £35,000 a year",April 2021
Commercial Finance Analyst,Sunderland,Nigel Wright Group,"£30,000 - £35,000 a year",19/3/2021
Technical Specialist (Office 365),Sunderland,Arriva,,March 2021
O&M Solar Data Analyst,,PSH Operations,"£20,000 a year",18/5/2021
Data Analyst (Amazon),Colchester,Penguin Random House,,March 2021
Data Analyst,Colchester,County Broadband Ltd,"£30,000 a year",9/5/2021
Payroll Analyst,Colchester,Care UK Residential Care Services,,18/3/2021
Procurement Analyst,Colchester,Towergate,"£32,000 a year",April 2021
Pricing Analyst,Colchester,Towergate,"£40,000 a year",20/4/2021
Actuarial Analyst,Colchester,Towergate,,13/3/2021
IT Business Analyst,Colchester,Envika Consultancy Ltd,"£36,000 - £38,000 a year",22/5/2021
Payroll Analyst | Healthcare,Colchester,Compass Associates,"£25,000 a year",May 2021
Compensation and Sales Planning Administrator,Colchester,Informa,,8/5/2021
"SAP SD/MM Functional Lead, Technology (12mths FTC)",Colchester,Penguin Random House,"£65,000 a year",May 2021
BI / Data Warehouse Developer - Colchester,,Noir Consulting,"£40,000 - £55,000 a year",May 2021
Payroll Analyst | Healthcare,,Compass Associates,"£25,000 a year",3/3/2021
Compliance Assistant,,Clark James Ltd,,20/5/2021
Data Analyst - East Yorkshire - incredibly strong brand,Kingston upon Hull,Interface Recruitment,,0/5/2021
Disability Analyst,Kingston upon Hull,Ascenti,"£32,000 a year",April 2021
PMO Analyst,Humberside,Saint-Gobain,,May 2021
Business Analyst,Kingston upon Hull,Prestige Recruitment Specialists,,May 2021
Security Analyst,Humberside,Saint-Gobain,,April 2021
Business Analyst,Kingston upon Hull,Essential Employment,,
Trainee Robotics Process Automation - Hull,Kingston upon Hull,FDM Group - FDM Graduate Programme,"£23,500 - £26,000 a year",21/4/2021
Business Analyst,Beverley,Akton Recruitment,£14 an hour,17/3/2021
Compliance Assistant,Kingston upon Hull,Clark James Ltd,,29/3/2021
Demand Planner,Kingston upon Hull,Edwards & Pearce,"£30,000 - £35,000 a year",14/5/2021
Temporary Business Analyst – Children’s Services,,Triumph Consultants Ltd,£13.11 an hour,10/3/2021
3.5t Cat B Delivery Van Driver York Peak £10.50-£11.50 p/h,,Gi Group UK,£10.50 - £11.96 an hour,1/5/2021
Temporary Business Analyst – Children’s Services,Kingston upon Hull,Triumph Consultants Ltd,£13.11 an hour,4/5/2021
BI Developer,Kingston upon Hull,Cathcart Associates,"£25,000 - £35,000 a year",6/4/2021
Interim Part Qualified Accountant / Finance Analyst,Kingston upon Hull,Edwards & Pearce,"£30,000 a year",May 2021
3.5t Cat B Delivery Van Driver York Peak £10.50-£11.50 p/h,Kingston upon Hull,Gi Group,£10.50 - £11.50 an hour,25/4/2021
Senior Quantity Surveyor,Kingston upon Hull,Colas UK,,14/3/2021
Big Data Analyst,,QinetiQ,,March 2021
Data Analyst / Modeller INSIDE IR35,Worcester,Public Sector Resourcing,,April 2021
Customer Service Analyst,Hindlip,West Mercia Police,"£26,208 - £30,951 a year",4/3/2021
Financial Analyst,Worcester,Kraft Heinz Company,,22/3/2021
Finance Analyst,Worcester,Pertemps Network Group,"£31,500 a year",March 2021
