Title,Location,Company,Salary,Advert Date
"Senior HR Partner, Reward & Recognition",Edinburgh,University of Edinburgh,,
Software Developer,Edinburgh,Avaloq,,29/3/2021
Senior Developer,Edinburgh,Zonal Retail Data Systems Limited,,March 2021
Insight & Analytics Manager,Edinburgh,Datatech Analytics,,10/3/2021
Senior Technical Support Analyst,Edinburgh,Lorien Resourcing,"£40,000 a year",March 2021
EU Cost Control & Reporting Manager (with basic SQL level),Edinburgh,Amazon UK Services Ltd.,,16/4/2021
Senior Business Analyst – Edinburgh – Financial Services – C...,Edinburgh,Hydrogen Group,£500 - £530 a week,15/4/2021
Onsite IT Service Delivery Manager,Edinburgh,Quorum Network Resources,,16/4/2021
IT operations and improvement manager,Edinburgh,Nucleus Financial Group,,7/3/2021
Finance Transformation - Business Analyst/Project Manager,Edinburgh,CAPCO,,April 2021
Wholesale Credit Risk Stress Testing Manager,Edinburgh,HSBC,,22/4/2021
IT Service Delivery Manager,Edinburgh,Gallagher Scott,"£38,000 - £45,000 a year",March 2021
BI Developer,Edinburgh,Head Resourcing Limited,,21/5/2021
IT operations and improvement manager,Edinburgh,Nucleus Financial,,May 2021
Senior Software Developer,Edinburgh,Zonal Retail Data Systems Limited,,4/5/2021
Senior UX/UI Designer,Edinburgh,OLIVER,,24/5/2021
Senior Front End Developer,Edinburgh,Zonal Retail Data Systems Limited,,12/3/2021
Scientific Software Developer,Edinburgh,System Recruitment,"£45,000 - £55,000 a year",March 2021
Cyber Security Engineer (Database Monitoring),Edinburgh,Adarma,,3/4/2021
Senior PHP Developer,Edinburgh,Zonal Retail Data Systems Limited,,11/5/2021
Technical Business Analyst - Identity & Access Management –...,,BlackRock,,May 2021
Quantitative Analyst,,Core-Asset Consulting,,2/4/2021
BMC Remedy Support Analyst,,CGI,,24/5/2021
SYSTEMS ANALYST (INVESTMENTS),,Core-Asset Consulting,,16/4/2021
Test Analyst,,Legal Marketing Services,"£25,000 - £30,000 a year",24/5/2021
Business Analyst /ERP BA- Liverpool,,Circle Recruitment,"£35,000 - £40,000 a year",
Data Engineer (Manufacturing / Machine Learning),,Rise Technical Recruitment Limited,"£50,000 - £55,000 a year",April 2021
Data Analyst - Liverpool,,Senitor Associates,"£30,000 - £40,000 a year",25/4/2021
Data Analyst,Liverpool,Shop Direct,,1/5/2021
Information Analyst,Liverpool,Liverpool University Hospitals NHS Foundation Trus...,"£24,214 - £30,112 a year",24/3/2021
Data Analyst,Liverpool,Grayce,,13/3/2021
Data Analyst,Liverpool,M.J. Quinn Integrated Services Ltd,,March 2021
Data Analyst,Speke,Professional Music Technology,,9/5/2021
Project Analyst,Liverpool,GRAYCE,,19/4/2021
People Data Analyst,Liverpool,The Lead Agency,,0/5/2021
Specialist Intelligence Analyst,Liverpool,NHS Liverpool Clinical Commissioning Group,"£30,401 - £37,267 a year",17/5/2021
QC Analyst (Level 2),Liverpool,Seqirus A CSL Company,,April 2021
Operations Analyst,Liverpool,Royal Sun Alliance,,
Business Analyst . ERP - Liverpool,,Circle Recruitment,"£35,000 - £40,000 a year",March 2021
Financial Crime Analyst,,Cashplus,,8/4/2021
Data Architect (Manufacturing / Machine Learning),,Rise Technical Recruitment Limited,"£50,000 - £55,000 a year",18/5/2021
Forecasting Business Analyst,,QVC,,11/5/2021
Project Analyst,Knowsley,Fusion21 Ltd,"£20,000 - £25,000 a year",17/3/2021
Project Analyst,Merseyside,Castlefield Recruitment,"£20,000 - £25,000 a year",2/3/2021
Risk Assurance Fraud Analyst,Liverpool,SportPesa,,21/5/2021
MI Data Analyst Administrator,Liverpool,Frank Wills Recruitment Ltd,,15/4/2021
Graduate Data Scientist,Birkenhead,Crowder Consulting,"£20,000 - £25,000 a year",10/4/2021
Business Analyst,Liverpool,Grayce,,
Marketing Data Analyst,Liverpool,Agility Resourcing,"£20,000 a year",27/5/2021
Management Information Analyst,Liverpool,telent,,April 2021
Graduate Project Engineer,Birkenhead,Crowder Consulting,"£21,000 a year",March 2021
Web Analyst,Liverpool,Matalan,,26/4/2021
Data Scientist / Software Developer,,Tessella Ltd,"£25,000 - £35,000 a year",30/3/2021
MI Analyst,Liverpool,Serco Group,"£40,000 a year",21/3/2021
Reconciliations Analyst,Liverpool,Royal Sun Alliance,,17/3/2021
Senior Data Analyst,Liverpool,Amaze,,27/3/2021
Forecasting Business Analyst,Liverpool,QVC,,0/4/2021
Data Analyst,Liverpool,ShortList,"£40,000 a year",26/5/2021
Principal Data Engineer,Liverpool,Shop Direct,,11/3/2021
"Lead Analyst, Business Process Improvement/Best Practices",Liverpool,BNY Mellon,,
Principal Information Analyst,Wirral,The Clatterbridge Cancer Centre NHS Foundation Tru...,"£37,570 - £43,772 a year",March 2021
Senior Data Engineer,Liverpool,Shop Direct,,17/5/2021
Customer Insight Analyst,Liverpool,Matalan,,3/5/2021
Data Analyst - Team Leader,Liverpool,WSP,,April 2021
PMO Analyst,Liverpool,ShortList,£400 a week,25/3/2021
